URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://fhir.et/core/ValueSet/hiv-assay-number-vs,0.9.0,active,,HIVAssayNumberVS,HIV Assay Number ValueSet,"Permitted assay numbers in HIV testing strategy",,"Internal"
http://fhir.et/core/ValueSet/hiv-assay-result-vs,0.9.0,active,,HIVAssayResultVS,HIV Assay Result ValueSet,"Allowed HIV assay results",,"Internal"
http://fhir.et/core/ValueSet/hiv-condition-vs,0.9.0,active,,HIVConditionVS,HIV Condition Value Set,"Value set representing HIV-related conditions and statuses",,"Internal"
http://fhir.et/core/ValueSet/hiv-exposure-ways-vs,0.9.0,active,,HIVExposureWaysVS,Ways of HIV Exposure,"Ways in which the client was exposed to HIV",,"Internal"
http://fhir.et/core/ValueSet/hiv-prevention-services-vs,0.9.0,active,,HIVPreventionServicesVS,HIV Prevention Services and Referrals ValueSet,"",,"Internal"
http://fhir.et/core/ValueSet/hiv-self-test-result-vs,0.9.0,active,,HIVSelfTestResultVS,HIV Self-test Result ValueSet,"",,"Internal"
http://fhir.et/core/ValueSet/hiv-serotype-vs,0.9.0,active,,HIVSerotypeVS,HIV Serotype ValueSet,"HIV serotype classification",,"Internal"
http://fhir.et/core/ValueSet/hiv-status-vs,0.9.0,active,,HIVStatusVS,,"",,"Internal"
http://fhir.et/core/ValueSet/hiv-test-result-vs,0.9.0,active,,HIVTestResultVS,,"",,"Internal"
http://fhir.et/core/ValueSet/hiv-test-type-vs,0.9.0,active,,HIVTestTypeVS,HIV Test Type ValueSet,"Permitted HIV test types",,"Internal"
http://fhir.et/core/ValueSet/hiv-testing-entry-point-vs,0.9.0,active,,HIVTestingEntryPointVS,HIV Testing Entry Point ValueSet,"ValueSet of HIV Testing Service entry points",,"Internal"
http://fhir.et/core/ValueSet/hiv-testing-reason-vs,0.9.0,active,,HIVTestingReasonVS,HIV Testing Reason ValueSet,"Reasons for HIV testing",,"Internal"
http://fhir.et/core/ValueSet/hiv-transmission-route-vs,0.9.0,active,,HIVTransmissionRouteVS,,"",,"Internal"
http://fhir.et/core/ValueSet/hsv-test-type-vs,0.9.0,active,,HSVTestTypeVS,Herpes Simplex Virus Test Type Value Set,"Allowed values for Herpes simplex virus (HSV) test types",,"Internal"
http://fhir.et/core/ValueSet/hts-service-vs,0.9.0,active,,HTSServiceVS,HTS Service Types ValueSet,"Value set for HTS service delivery types.",,"Internal"
http://fhir.et/core/ValueSet/ipv-enquiry-result-vs,0.9.0,active,,IPVEnquiryResultVS,IPV Enquiry Result ValueSet,"",,"Internal"
http://fhir.et/core/ValueSet/key-population-type-vs,0.9.0,active,,KeyPopulationTypeVS,Key Population Type ValueSet,"",,"Internal"
http://fhir.et/core/ValueSet/marital-status-vs,0.9.0,active,,ETMaritalStatusVS,Ethiopian Patient Marital Status values,"Patient Marital Status....",,"THO (V3)"
http://fhir.et/core/ValueSet/mycoplasma-genitalium-test-type-vs,0.9.0,active,,MycoplasmaGenitaliumTestTypeVS,Mycoplasma genitalium Test Type Value Set,"Allowed values for Mycoplasma genitalium test types",,"Internal"
http://fhir.et/core/ValueSet/neisseria-gonorrhoeae-test-type-vs,0.9.0,active,,NeisseriaGonorrhoeaeTestTypeVS,Neisseria gonorrhoeae Test Type Value Set,"Allowed values for Neisseria gonorrhoeae test types",,"Internal"
http://fhir.et/core/ValueSet/occupation-vs,0.9.0,active,,OccupationVS,Ethiopia Occupation ValueSet,"ValueSet containing all occupation codes used in Ethiopia",,"Internal"
http://fhir.et/core/ValueSet/other-clinical-services-vs,0.9.0,active,,OtherClinicalServicesVS,Other Clinical Services Offered ValueSet,"",,"Internal"
http://fhir.et/core/ValueSet/other-support-services-vs,0.9.0,active,,OtherSupportServicesVS,Other Support Services ValueSet,"",,"Internal"
http://fhir.et/core/ValueSet/partner-contact-type-vs,0.9.0,active,,PartnerContactTypeVS,Partner Contact Type ValueSet,"",,"Internal"
http://fhir.et/core/ValueSet/partner-risk-category-vs,0.9.0,active,,PartnerRiskCategoryVS,Partner High Risk Category ValueSet,"",,"Internal"
http://fhir.et/core/ValueSet/partner-services-referral-vs,0.9.0,active,,PartnerServicesReferralVS,Partner Services Referral ValueSet,"",,"Internal"
http://fhir.et/core/ValueSet/preferred-contact-method-vs,0.9.0,active,,PreferredContactMethodVS,Preferred Contact Method Value Set,"",,"Internal"
http://fhir.et/core/ValueSet/prep-dosing-type-vs,0.9.0,active,,PrEPDosingTypeVS,PrEP Dosing Type ValueSet,"",,"Internal"
http://fhir.et/core/ValueSet/prep-visit-interval-vs,0.9.0,active,,PrepVisitIntervalVS,PrEP Visit Interval ValueSet,"",,"Internal"
http://fhir.et/core/ValueSet/prep-visit-reason-vs,0.9.0,active,,PrepVisitReasonVS,PrEP Visit Reason ValueSet,"",,"Internal"
http://fhir.et/core/ValueSet/srh-integrated-services-vs,0.9.0,active,,SRHIntegratedServicesVS,Sexual and Reproductive Health Integrated Services ValueSet,"",,"Internal"
http://fhir.et/core/ValueSet/sti-result-vs,0.9.0,active,,STIResultVS,STI Test Result ValueSet,"Value set for STI test results",,"Internal"
http://fhir.et/core/ValueSet/sti-syndrome-vs,0.9.0,active,,STISyndromeVS,Syndrome/STI Diagnosed ValueSet,"",,"Internal"
http://fhir.et/core/ValueSet/sti-test-type-vs,0.9.0,active,,STITestTypeVS,STI Tested For,"",,"Internal"
http://fhir.et/core/ValueSet/syphilis-confirmatory-test-type-vs,0.9.0,active,,SyphilisConfirmatoryTestTypeVS,Confirmatory Syphilis Test Type ValueSet,"Value set for confirmatory syphilis test types",,"Internal"
http://fhir.et/core/ValueSet/syphilis-test-result-vs,0.9.0,active,,SyphilisTestResultVS,Syphilis Test Result,"",,"Internal"
http://fhir.et/core/ValueSet/syphilis-test-type-vs,0.9.0,active,,SyphilisTestTypeVS,Syphilis Test Type Value Set,"Allowed syphilis test type values",,"Internal"
http://fhir.et/core/ValueSet/trichomonas-vaginalis-test-type-vs,0.9.0,active,,TrichomonasVaginalisTestTypeVS,Trichomonas vaginalis Test Type Value Set,"Allowed values for Trichomonas vaginalis test types",,"Internal"
http://fhir.et/core/ValueSet/vmmc-adverse-event-severity-vs,0.9.0,active,,VMMCAdverseEventSeverityVS,VMMC Adverse Event Severity,"",,"Internal"
http://fhir.et/core/ValueSet/vmmc-adverse-event-timing-vs,0.9.0,active,,VMMCAdverseEventTimingVS,Timing of VMMC Adverse Event,"",,"Internal"
